HCCI_HL_CATEGORY,HCCI_ML_CATEGORY,HCCI_SUBCATEGORY,AGE_GROUP,GENDER,METRIC,YEAR,VALUE
Inpatient,inpatient_acute,Labor_Delivery,All,All,OOP_spending_per_person,2012,10.0975
Inpatient,inpatient_acute,Labor_Delivery,All,All,OOP_spending_per_person,2013,12.3736
Inpatient,inpatient_acute,Labor_Delivery,All,All,OOP_spending_per_person,2014,13.0115
Inpatient,inpatient_acute,Labor_Delivery,All,All,OOP_spending_per_person,2015,13.4226
Inpatient,inpatient_acute,Labor_Delivery,All,All,OOP_spending_per_person,2016,13.9617
Inpatient,inpatient_acute,Labor_Delivery,All,All,Payer_spending_per_person,2012,76.6927
Inpatient,inpatient_acute,Labor_Delivery,All,All,Payer_spending_per_person,2013,81.1479
Inpatient,inpatient_acute,Labor_Delivery,All,All,Payer_spending_per_person,2014,83.0775
Inpatient,inpatient_acute,Labor_Delivery,All,All,Payer_spending_per_person,2015,83.5416
Inpatient,inpatient_acute,Labor_Delivery,All,All,Payer_spending_per_person,2016,87.2612
Inpatient,inpatient_acute,Labor_Delivery,All,All,Price,2012,7891.7147
Inpatient,inpatient_acute,Labor_Delivery,All,All,Price,2013,8312.1003
Inpatient,inpatient_acute,Labor_Delivery,All,All,Price,2014,8624.6727
Inpatient,inpatient_acute,Labor_Delivery,All,All,Price,2015,8950.0334
Inpatient,inpatient_acute,Labor_Delivery,All,All,Price,2016,9517.2192
Inpatient,inpatient_acute,Labor_Delivery,All,All,Spending_per_person,2012,86.7902
Inpatient,inpatient_acute,Labor_Delivery,All,All,Spending_per_person,2013,93.5215
Inpatient,inpatient_acute,Labor_Delivery,All,All,Spending_per_person,2014,96.089
Inpatient,inpatient_acute,Labor_Delivery,All,All,Spending_per_person,2015,96.9642
Inpatient,inpatient_acute,Labor_Delivery,All,All,Spending_per_person,2016,101.2229
Inpatient,inpatient_acute,Labor_Delivery,All,All,Utilization_per_1000_persons,2012,10.9976
Inpatient,inpatient_acute,Labor_Delivery,All,All,Utilization_per_1000_persons,2013,11.2512
Inpatient,inpatient_acute,Labor_Delivery,All,All,Utilization_per_1000_persons,2014,11.1412
Inpatient,inpatient_acute,Labor_Delivery,All,All,Utilization_per_1000_persons,2015,10.8339
Inpatient,inpatient_acute,Labor_Delivery,All,All,Utilization_per_1000_persons,2016,10.6358
Inpatient,inpatient_acute,Labor_Delivery,All,Female,OOP_spending_per_person,2012,19.8373
Inpatient,inpatient_acute,Labor_Delivery,All,Female,OOP_spending_per_person,2013,24.2356
Inpatient,inpatient_acute,Labor_Delivery,All,Female,OOP_spending_per_person,2014,25.4973
Inpatient,inpatient_acute,Labor_Delivery,All,Female,OOP_spending_per_person,2015,26.2765
Inpatient,inpatient_acute,Labor_Delivery,All,Female,OOP_spending_per_person,2016,27.336
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Payer_spending_per_person,2012,150.6677
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Payer_spending_per_person,2013,158.9407
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Payer_spending_per_person,2014,162.7988
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Payer_spending_per_person,2015,163.5438
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Payer_spending_per_person,2016,170.8511
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Price,2012,7891.7147
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Price,2013,8312.1003
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Price,2014,8624.6727
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Price,2015,8950.0334
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Price,2016,9517.2192
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Spending_per_person,2012,170.505
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Spending_per_person,2013,183.1763
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Spending_per_person,2014,188.2962
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Spending_per_person,2015,189.8204
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Spending_per_person,2016,198.1871
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Utilization_per_1000_persons,2012,21.6056
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Utilization_per_1000_persons,2013,22.0373
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Utilization_per_1000_persons,2014,21.8323
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Utilization_per_1000_persons,2015,21.2089
Inpatient,inpatient_acute,Labor_Delivery,All,Female,Utilization_per_1000_persons,2016,20.8241
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,OOP_spending_per_person,2012,0.5951
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,OOP_spending_per_person,2013,0.6936
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,OOP_spending_per_person,2014,0.6324
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,OOP_spending_per_person,2015,0.5548
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,OOP_spending_per_person,2016,0.4927
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Payer_spending_per_person,2012,3.9628
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Payer_spending_per_person,2013,4.0448
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Payer_spending_per_person,2014,3.5116
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Payer_spending_per_person,2015,2.9669
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Payer_spending_per_person,2016,2.5772
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Price,2012,6923.4062
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Price,2013,7328.1013
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Price,2014,7572.7011
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Price,2015,7692
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Price,2016,7870.9562
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Spending_per_person,2012,4.5579
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Spending_per_person,2013,4.7384
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Spending_per_person,2014,4.144
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Spending_per_person,2015,3.5217
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Spending_per_person,2016,3.07
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Utilization_per_1000_persons,2012,0.6583
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Utilization_per_1000_persons,2013,0.6466
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Utilization_per_1000_persons,2014,0.5472
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Utilization_per_1000_persons,2015,0.4578
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,All,Utilization_per_1000_persons,2016,0.39
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,OOP_spending_per_person,2012,1.2175
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,OOP_spending_per_person,2013,1.4185
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,OOP_spending_per_person,2014,1.2941
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,OOP_spending_per_person,2015,1.134
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,OOP_spending_per_person,2016,1.0073
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Payer_spending_per_person,2012,8.1077
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Payer_spending_per_person,2013,8.2718
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Payer_spending_per_person,2014,7.1859
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Payer_spending_per_person,2015,6.0643
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Payer_spending_per_person,2016,5.2688
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Price,2012,6923.4062
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Price,2013,7328.1013
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Price,2014,7572.7011
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Price,2015,7692
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Price,2016,7870.9562
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Spending_per_person,2012,9.3252
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Spending_per_person,2013,9.6903
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Spending_per_person,2014,8.48
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Spending_per_person,2015,7.1983
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Spending_per_person,2016,6.2761
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Utilization_per_1000_persons,2012,1.3469
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Utilization_per_1000_persons,2013,1.3223
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Utilization_per_1000_persons,2014,1.1198
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Utilization_per_1000_persons,2015,0.9358
Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Female,Utilization_per_1000_persons,2016,0.7974
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,OOP_spending_per_person,2012,18.0323
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,OOP_spending_per_person,2013,21.083
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,OOP_spending_per_person,2014,21.422
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,OOP_spending_per_person,2015,21.6579
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,OOP_spending_per_person,2016,21.6859
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Payer_spending_per_person,2012,117.8946
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Payer_spending_per_person,2013,119.8212
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Payer_spending_per_person,2014,118.3472
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Payer_spending_per_person,2015,115.9718
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Payer_spending_per_person,2016,113.1738
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Price,2012,7163.4338
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Price,2013,7554.033
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Price,2014,7771.6141
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Price,2015,7943.9351
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Price,2016,8437.9804
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Spending_per_person,2012,135.9269
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Spending_per_person,2013,140.9042
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Spending_per_person,2014,139.7693
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Spending_per_person,2015,137.6297
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Spending_per_person,2016,134.8597
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Utilization_per_1000_persons,2012,18.9751
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Utilization_per_1000_persons,2013,18.6528
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Utilization_per_1000_persons,2014,17.9846
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Utilization_per_1000_persons,2015,17.3251
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,All,Utilization_per_1000_persons,2016,15.9825
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,OOP_spending_per_person,2012,36.1346
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,OOP_spending_per_person,2013,42.6273
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,OOP_spending_per_person,2014,43.2909
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,OOP_spending_per_person,2015,43.7434
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,OOP_spending_per_person,2016,43.7513
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Payer_spending_per_person,2012,236.2465
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Payer_spending_per_person,2013,242.2642
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Payer_spending_per_person,2014,239.1634
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Payer_spending_per_person,2015,234.2333
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Payer_spending_per_person,2016,228.3276
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Price,2012,7163.4338
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Price,2013,7554.033
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Price,2014,7771.6141
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Price,2015,7943.9351
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Price,2016,8437.9804
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Spending_per_person,2012,272.3811
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Spending_per_person,2013,284.8915
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Spending_per_person,2014,282.4543
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Spending_per_person,2015,277.9767
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Spending_per_person,2016,272.0789
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Utilization_per_1000_persons,2012,38.0238
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Utilization_per_1000_persons,2013,37.7138
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Utilization_per_1000_persons,2014,36.3444
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Utilization_per_1000_persons,2015,34.9923
Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Female,Utilization_per_1000_persons,2016,32.2445
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,OOP_spending_per_person,2012,28.7665
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,OOP_spending_per_person,2013,34.7225
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,OOP_spending_per_person,2014,36.9945
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,OOP_spending_per_person,2015,38.5938
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,OOP_spending_per_person,2016,40.5243
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Payer_spending_per_person,2012,224.8816
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Payer_spending_per_person,2013,234.7606
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Payer_spending_per_person,2014,243.3048
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Payer_spending_per_person,2015,247.3818
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Payer_spending_per_person,2016,261.8467
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Price,2012,8043.889
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Price,2013,8488.8134
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Price,2014,8816.2769
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Price,2015,9171.8446
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Price,2016,9739.5199
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Spending_per_person,2012,253.6481
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Spending_per_person,2013,269.4831
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Spending_per_person,2014,280.2993
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Spending_per_person,2015,285.9756
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Spending_per_person,2016,302.371
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Utilization_per_1000_persons,2012,31.533
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Utilization_per_1000_persons,2013,31.7457
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Utilization_per_1000_persons,2014,31.7934
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Utilization_per_1000_persons,2015,31.1797
Inpatient,inpatient_acute,Labor_Delivery,Ages_26to44,All,Utilization_per_1000_persons,2016,31.0458
