,High-Level Category,Mid-Level Category,Subcategory,Age Group,Metric,Year,Value,Age Group Upper Limit
50,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,OOP_spending_per_person,2012,0.5951,18
51,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,OOP_spending_per_person,2013,0.6936,18
52,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,OOP_spending_per_person,2014,0.6324,18
53,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,OOP_spending_per_person,2015,0.5548,18
54,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,OOP_spending_per_person,2016,0.4927,18
55,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Payer_spending_per_person,2012,3.9628,18
56,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Payer_spending_per_person,2013,4.0448,18
57,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Payer_spending_per_person,2014,3.5116,18
58,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Payer_spending_per_person,2015,2.9669,18
59,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Payer_spending_per_person,2016,2.5772,18
60,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Price,2012,6923.4062,18
61,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Price,2013,7328.1013,18
62,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Price,2014,7572.7011,18
63,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Price,2015,7692.0,18
64,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Price,2016,7870.9562,18
65,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Spending_per_person,2012,4.5579,18
66,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Spending_per_person,2013,4.7384,18
67,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Spending_per_person,2014,4.144,18
68,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Spending_per_person,2015,3.5217,18
69,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Spending_per_person,2016,3.07,18
70,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Utilization_per_1000_persons,2012,0.6583,18
71,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Utilization_per_1000_persons,2013,0.6466,18
72,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Utilization_per_1000_persons,2014,0.5472,18
73,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Utilization_per_1000_persons,2015,0.4578,18
74,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Utilization_per_1000_persons,2016,0.39,18
75,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,OOP_spending_per_person,2012,1.2175,18
76,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,OOP_spending_per_person,2013,1.4185,18
77,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,OOP_spending_per_person,2014,1.2941,18
78,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,OOP_spending_per_person,2015,1.1340000000000001,18
79,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,OOP_spending_per_person,2016,1.0073,18
80,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Payer_spending_per_person,2012,8.1077,18
81,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Payer_spending_per_person,2013,8.2718,18
82,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Payer_spending_per_person,2014,7.1859,18
83,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Payer_spending_per_person,2015,6.0643,18
84,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Payer_spending_per_person,2016,5.2688,18
85,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Price,2012,6923.4062,18
86,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Price,2013,7328.1013,18
87,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Price,2014,7572.7011,18
88,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Price,2015,7692.0,18
89,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Price,2016,7870.9562,18
90,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Spending_per_person,2012,9.3252,18
91,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Spending_per_person,2013,9.6903,18
92,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Spending_per_person,2014,8.48,18
93,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Spending_per_person,2015,7.1983,18
94,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Spending_per_person,2016,6.2761,18
95,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Utilization_per_1000_persons,2012,1.3469,18
96,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Utilization_per_1000_persons,2013,1.3223,18
97,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Utilization_per_1000_persons,2014,1.1198,18
98,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Utilization_per_1000_persons,2015,0.9358,18
99,Inpatient,inpatient_acute,Labor_Delivery,Ages_0to18,Utilization_per_1000_persons,2016,0.7974,18
100,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,OOP_spending_per_person,2012,18.0323,25
101,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,OOP_spending_per_person,2013,21.083000000000002,25
102,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,OOP_spending_per_person,2014,21.421999999999997,25
103,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,OOP_spending_per_person,2015,21.6579,25
104,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,OOP_spending_per_person,2016,21.6859,25
105,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Payer_spending_per_person,2012,117.8946,25
106,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Payer_spending_per_person,2013,119.8212,25
107,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Payer_spending_per_person,2014,118.3472,25
108,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Payer_spending_per_person,2015,115.9718,25
109,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Payer_spending_per_person,2016,113.1738,25
110,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Price,2012,7163.4338,25
111,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Price,2013,7554.033,25
112,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Price,2014,7771.6141,25
113,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Price,2015,7943.9351,25
114,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Price,2016,8437.9804,25
115,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Spending_per_person,2012,135.9269,25
116,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Spending_per_person,2013,140.9042,25
117,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Spending_per_person,2014,139.7693,25
118,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Spending_per_person,2015,137.6297,25
119,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Spending_per_person,2016,134.8597,25
120,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Utilization_per_1000_persons,2012,18.9751,25
121,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Utilization_per_1000_persons,2013,18.6528,25
122,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Utilization_per_1000_persons,2014,17.9846,25
123,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Utilization_per_1000_persons,2015,17.3251,25
124,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,Utilization_per_1000_persons,2016,15.9825,25
125,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,OOP_spending_per_person,2012,36.1346,25
126,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,OOP_spending_per_person,2013,42.6273,25
127,Inpatient,inpatient_acute,Labor_Delivery,Ages_19to25,OOP_spending_per_person,2014,43.2909,25
